rAma manOHari        , S R1 G3 M2 P D2 N2 D2 S , S N2 D2 P M2 G3 R1 S
gamakakriya          , S R1 G3 M2 P D2 P S     , S N3 D2 P M2 G3 R1 S
gamanakriya          , S R1 M2 P D2 N3 S       , S N3 D2 P M2 G3 M2 R1 S
HamsAnandhi          , S R1 G3 M2 D2 N3 S      , S N3 D2 M2 G3 R1 S
mEchakAn'gi          , S R1 G3 M2 P D2 N3 S    , S N3 P D2 P M2 G3 R1 S
pUrvikalyANi         , S R1 G3 M2 P D2 P S     , S N3 D2 P M2 G3 R1 S
vijayavasantha       , S M2 P D3 N3 S          , S N3 P M2 G3 R1 S
chinthAmaNi          , S R2 P M2 P D2 N2 S     , S P D1 P M2 G2 R2 S
sudhdha rAga         , S R2 G2 M2 P N3 S       , S N3 P M2 G2 R2 S
vijayanAgari         , S R2 G2 M2 P D2 S       , S D2 P M2 G2 R2 S
madhuvanthi          , S G2 M2 P N3 S          , S N3 D2 P M2 G2 R2 S
ranjani              , S R2 G2 M2 D2 S         , S N3 D2 M2 G2 S R2 G2 S
amarasenapriya       , S R2 M2 P N3 S          , S N3 P M2 R2 G2 R2 S
HamsanAdham          , S R2 M2 P N3 S          , S N3 P M2 R2 S
kaikavAsi            , S R2 G2 M2 P D3 N3 S    , S N3 P M2 G2 R2 S
shruthiranjani       , S R2 G3 M2 P D1 N1      , N1 D1 P M2 G3 S R2 S
gopriya              , S R2 G3 M2 D1 N2 S      , S N2 D1 M2 G3 R2 S
bhUshavaLi           , S R2 G3 M2 P D2 S       , S N2 D2 P M2 G3 R2 S
sarasvathi           , S R2 M2 P D2 S          , S N2 D2 P M2 R2 S
HamirkalyANi         , S P M2 P D2 N3 S        , S N3 D2 P M2 M1 G3 P M1 R2 S
mOHanakalyANi        , S R2 G3 P D2 S          , S N3 D2 P M2 G3 R2 S
sAran'ga             , S R2 G3 M2 P D2 N3 S    , S N3 D2 P M2 R2 G3 M1 R2 S
yamunAkalyANi        , S R2 G3 P M2 P D2 S     , S D2 P M2 P G3 R2 S
amRuthavarshiNi      , S G3 M2 P N3 S          , S N3 P M2 G3 S
